Isobaric.set,Isobaric.label.details,MI_minus.2,MI_minus.1,Monoisotopic,MI_plus.1,MI_plus.2,Who_minus.2,Who_minus.1,Who_plus.1,Who_plus.2
1;2,126,0,0,100,7.4,0,,,127C,128C
1;2,127N,0,0,100,6.2,0,,,128N,129N
1;2,127C,0,0.8,100,6.5,0,,126,128C,129C
1;2,128N,0,0.4,100,6.6,0,,127N,129N,130N
1;2,128C,0,1.5,100,5.8,0,126,127C,129C,130C
1;2,129N,0,1.6,100,5.4,0,127N,128N,130N,131
1;2,129C,0,2.7,100,4.7,0,127C,128C,130C,
1;2,130N,0,2.4,100,4.4,0,128N,129N,131,
1;2,130C,0,3.3,100,3.3,0,128C,129C,,
1;2,131,0,2.9,100,3.7,0,129N,130N,,
